Descriptor,State Average Performance (%),National Average Performance (%)
Reads numbers up to 9999,75,64
Reads numbers up to 999,16,24
Reads numbers up to 99,7,11
Does not respond,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Discriminates numbers up to 9999,84,67
Discriminates numbers up to 999,11,23
Discriminates numbers up to 99,3,8
Discriminates numbers only up to 9,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Adds numbers upto 999,55,53
Adds numbers upto 99,72,71
Adds numbers upto 9,93,92
Subtracts numbers upto 999,37,40
Subtracts  numbers upto 99,64,62
Subtracts  numbers upto 9,84,81

Descriptor,State Average Performance (%),National Average Performance (%)
Identifies the application of operation of addition in real life situations and provides the correct answer for questions based on addition only,53,54
Identifies the application of operation of subtraction in real life situations and provides the correct answer for questions based on subtraction only,32,42
Identifies the application of number operations in real life situations and provides the correct answers for 80% and above questions,47,52

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct multiplication facts in 80%  and above questions,83,71
Understands and applies correct multiplication facts in 50% and less than 80% questions,9,16
Understands and applies correct multiplication facts in less than 50% questions,3,6
Does not respond,5,8

Descriptor,State Average Performance (%),National Average Performance (%)
Understands and applies correct Division facts in 80%  and above questions,52,49
Understands and applies correct Division facts in 50% and less than 80% questions,32,31
Understands and applies correct Division facts in less than 50% questions,6,6
Does not respond,9,14

Descriptor,State Average Performance (%),National Average Performance (%)
"Identifies the Month, Date and Day on the Calender",68,62
"Identifies the month, date and day with help",18,20
"Make mistakes in identifying the Month, date and day",2,6
Dose not respond,12,12

Descriptor,State Average Performance (%),National Average Performance (%)
Can compare and estimate the volume of different containers,32,46
Can either compare or estimate the volume of different containers,65,47
Attempts but makes mistakes in estimating and comparing the volume,2,3
Dose not respond,2,4

Descriptor,State Average Performance (%),National Average Performance (%)
Tells the time correctly,58,52
Tells the time correctly with the help of hint,26,36
Dose not respond,15,12

Descriptor,State Average Performance (%),National Average Performance (%)
Applies the understanding of measurement of length and calculates the length of  the object,67,62
Applies the understanding of measurement of length but miscalculates the length of the object when the object is not aligned with the 0 of the scale,30,27
Makes effort but not able to calculate the length of the object,2,6
Dose not respond,1,4

Descriptor,State Average Performance (%),National Average Performance (%)
correctly identifies one-half,62,70
correctly identifies one-fourth,29,47
correctly identifies three-fourth,46,61
"correctly identifies all the fractions (one-half, one-fourth, three-fourth)",24,42
correctly represents one-half,58,68
correctly represents one-fourth,30,55
correctly represents three-fourth,22,46
"correctly represents  all the fractions (one-half, one-fourth, three-fourth)",17,40

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies and completes patterns with shapes and  numbers in 80% and above questions,65,61
Correctly identifies and completes patterns with shapes and  numbers in 50% to less than 80% questions,26,28
Correctly identifies and completes patterns with shapes and  numbers in less than 50% questions,8,8
Dose not respond,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Answers 80% and above questions correctly,74,70
Answers 50% - less than 80% questions correctly,24,23
Answers less than 50% questions correctly,2,5
Answers less than 50% questions correctly,0,2

Benchmark,,0 - 42,43 - 69,70 - 83,84 and above
Percentage of Students meeting the standard,State/UT,7,34,54,5.0
,National,11,37,42,10.0
Percentage of Girls meeting the standard,State/UT,7,35,53,5.0
,National,11,38,41,10.0
Percentage of Boys meeting the standard,State/UT,6,34,55,5.0
,National,11,36,43,10,
