Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,81,84

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,97,98
Correctly identifies at least one final sound in grade level words,94,96
Not able to identify the initial sound and final sound in any of the given grade level words,3,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,66,82
Reads 50-79 letters correctly/reads some letters with self correction,25,13
Reads 10-49 letters correctly/hesitantly  with self correction,7,4
Reads less than 10 letters correctly/hesitantly  with self correction,2,1

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,32,60
Reads 50% to Less than 80% words correctly (with self correction wherever needed),40,24
Reads 10% to less than 50% words correctly (with self correction wherever needed),18,8
Reads less than 10% words correctly (with self correction wherever needed),10,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,35,67
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),43,20
Reads 10% to less than 50% words correctly (with self correction wherever needed),14,7
Reads less than 10% words correctly (with self correction wherever needed),8,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,87,84

Benchmark,,0 - 13,14 - 31,32 - 52,53 and above
Percentage of Students meeting the standard,State/UT,39,41,12,8.0
,National,21,43,21,15.0
Percentage of Girls meeting the standard,State/UT,40,40,13,7.0
,National,20,43,22,15.0
Percentage of Boys meeting the standard,State/UT,37,43,12,8.0
,National,22,43,19,16
