Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,69,82

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,95,98
Correctly identifies at least one final sound in grade level words,92,95
Not able to identify the initial sound and final sound in any of the given grade level words,3,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,76,85
Reads 50-79 letters correctly/reads some letters with self correction,13,7
Reads 10-49 letters correctly/hesitantly  with self correction,6,4
Reads less than 10 letters correctly/hesitantly  with self correction,5,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,61,74
Reads 50% to Less than 80% words correctly (with self correction wherever needed),15,13
Reads 10% to less than 50% words correctly (with self correction wherever needed),14,9
Reads less than 10% words correctly (with self correction wherever needed),10,4

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,57,72
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),15,14
Reads 10% to less than 50% words correctly (with self correction wherever needed),15,10
Reads less than 10% words correctly (with self correction wherever needed),13,5

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,85,83

Benchmark,,0 - 11,12 - 31,32 - 50,51 and above
Percentage of Students meeting the standard,State/UT,28,32,23,17.0
,National,13,31,28,28.0
Percentage of Girls meeting the standard,State/UT,27,35,20,18.0
,National,9,29,30,32.0
Percentage of Boys meeting the standard,State/UT,29,30,24,17.0
,National,16,33,25,26
