Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,82,85

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,92,95
Correctly identifies at least one final sound in grade level words,92,93
Not able to identify the initial sound and final sound in any of the given grade level words,6,4

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,95,95
Reads 50-79 letters correctly/reads some letters with self correction,2,3
Reads 10-49 letters correctly/hesitantly  with self correction,1,2
Reads less than 10 letters correctly/hesitantly  with self correction,2,1

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,70,73
Reads 50% to Less than 80% words correctly (with self correction wherever needed),10,13
Reads 10% to less than 50% words correctly (with self correction wherever needed),9,8
Reads less than 10% words correctly (with self correction wherever needed),12,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,64,62
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),15,18
Reads 10% to less than 50% words correctly (with self correction wherever needed),6,9
Reads less than 10% words correctly (with self correction wherever needed),15,11

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,77,87

Benchmark,,0 - 14,15 - 34,35 - 53,54 and above
Percentage of Students meeting the standard,State/UT,19,22,21,38.0
,National,17,29,21,33.0
Percentage of Girls meeting the standard,State/UT,20,23,21,36.0
,National,17,29,21,33.0
Percentage of Boys meeting the standard,State/UT,18,21,22,39.0
,National,16,30,21,33
