Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,83,84

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,96,98
Correctly identifies at least one final sound in grade level words,93,96
Not able to identify the initial sound and final sound in any of the given grade level words,3,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,84,82
Reads 50-79 letters correctly/reads some letters with self correction,10,13
Reads 10-49 letters correctly/hesitantly  with self correction,4,4
Reads less than 10 letters correctly/hesitantly  with self correction,1,1

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,53,60
Reads 50% to Less than 80% words correctly (with self correction wherever needed),31,24
Reads 10% to less than 50% words correctly (with self correction wherever needed),8,8
Reads less than 10% words correctly (with self correction wherever needed),9,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,70,67
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),15,20
Reads 10% to less than 50% words correctly (with self correction wherever needed),8,7
Reads less than 10% words correctly (with self correction wherever needed),8,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,79,84

Benchmark,,0 - 13,14 - 31,32 - 52,53 and above
Percentage of Students meeting the standard,State/UT,22,40,23,15.0
,National,21,43,21,15.0
Percentage of Girls meeting the standard,State/UT,21,39,25,15.0
,National,20,43,22,15.0
Percentage of Boys meeting the standard,State/UT,23,42,19,16.0
,National,22,43,19,16
