Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,90,85

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,99,97
Correctly identifies at least one final sound in grade level words,97,95
Not able to identify the initial sound and final sound in any of the given grade level words,1,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,91,87
Reads 50-79 letters correctly/reads some letters with self correction,5,7
Reads 10-49 letters correctly/hesitantly  with self correction,2,3
Reads less than 10 letters correctly/hesitantly  with self correction,2,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,74,75
Reads 50% to Less than 80% words correctly (with self correction wherever needed),12,13
Reads 10% to less than 50% words correctly (with self correction wherever needed),5,6
Reads less than 10% words correctly (with self correction wherever needed),8,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,60,68
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),17,17
Reads 10% to less than 50% words correctly (with self correction wherever needed),12,8
Reads less than 10% words correctly (with self correction wherever needed),11,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,90,87

Benchmark,,0 - 16,17 - 34,35 - 54,55 and above
Percentage of Students meeting the standard,State/UT,10,35,37,18.0
,National,19,35,23,23.0
Percentage of Girls meeting the standard,State/UT,8,37,40,15.0
,National,19,33,25,23.0
Percentage of Boys meeting the standard,State/UT,11,34,33,22.0
,National,19,36,23,22
