Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,83,85

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,89,95
Correctly identifies at least one final sound in grade level words,83,93
Not able to identify the initial sound and final sound in any of the given grade level words,8,4

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,97,95
Reads 50-79 letters correctly/reads some letters with self correction,2,3
Reads 10-49 letters correctly/hesitantly  with self correction,0,2
Reads less than 10 letters correctly/hesitantly  with self correction,1,1

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,71,73
Reads 50% to Less than 80% words correctly (with self correction wherever needed),15,13
Reads 10% to less than 50% words correctly (with self correction wherever needed),8,8
Reads less than 10% words correctly (with self correction wherever needed),6,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,52,62
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),28,18
Reads 10% to less than 50% words correctly (with self correction wherever needed),11,9
Reads less than 10% words correctly (with self correction wherever needed),9,11

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,86,87

Benchmark,,0 - 14,15 - 34,35 - 53,54 and above
Percentage of Students meeting the standard,State/UT,12,31,23,34.0
,National,17,29,21,33.0
Percentage of Girls meeting the standard,State/UT,10,35,25,30.0
,National,17,29,21,33.0
Percentage of Boys meeting the standard,State/UT,15,26,21,38.0
,National,16,30,21,33
