Descriptor,State Average Performance (%),National Average Performance (%)
Listens and Comprehends four to five texts of varying lengths correctly,88,85

Descriptor,State Average Performance (%),National Average Performance (%)
Correctly identifies at least one initial sound in grade level words,100,97
Correctly identifies at least one final sound in grade level words,99,95
Not able to identify the initial sound and final sound in any of the given grade level words,0,2

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80-100 letters correctly and fluently,90,87
Reads 50-79 letters correctly/reads some letters with self correction,7,7
Reads 10-49 letters correctly/hesitantly  with self correction,3,3
Reads less than 10 letters correctly/hesitantly  with self correction,1,3

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,73,75
Reads 50% to Less than 80% words correctly (with self correction wherever needed),12,13
Reads 10% to less than 50% words correctly (with self correction wherever needed),12,6
Reads less than 10% words correctly (with self correction wherever needed),3,6

Descriptor,State Average Performance (%),National Average Performance (%)
Reads 80% and more words  correctly and fluently,66,68
Reads 50%  to Less than 80% words correctly (with self correction wherever needed),14,17
Reads 10% to less than 50% words correctly (with self correction wherever needed),15,8
Reads less than 10% words correctly (with self correction wherever needed),5,7

Descriptor,State Average Performance (%),National Average Performance (%)
Reads and Comprehends four to five texts of varying lengths correctly,86,87

Benchmark,,0 - 16,17 - 34,35 - 54,55 and above
Percentage of Students meeting the standard,State/UT,25,38,20,17.0
,National,19,35,23,23.0
Percentage of Girls meeting the standard,State/UT,16,45,22,17.0
,National,19,33,25,23.0
Percentage of Boys meeting the standard,State/UT,32,31,20,17.0
,National,19,36,23,22
